Station ID,Address,Charger Type,Availability,Station Operator,Connector Types,Renewable Energy Source,Annually,Monthly,Quarterly,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38,Extra_Feature_39,Extra_Feature_40
-33.400998,37.861857,13.776092,43.62825,19.119865,-23.695008,55.762409,13.715561,41.807653,39.968701,19.944111,55.81937,52.506967,41.847035,25.392096,25.335831,13.877602,37.790361,37.695636,19.519719,81.568159,55.738402,-33.826489,52.43128,41.989867,39.908197,13.743441,-23.654772,-33.718044,39.807514,53.03844,39.999797,-23.619267,39.843388,41.868532,43.634205,13.756978,-33.759342,39.941888,-33.726294,-52.343695,41.978341,25.281221,37.574357,-33.737572,41.935571,19.055518,-33.786133,41.878593,34.18596
68.997157,52.424113,55.720058,41.948302,37.5231,19.118476,25.283465,37.601252,41.959182,41.801381,35.844347,-33.733482,41.970902,43.73349,25.387104,-33.877766,37.685854,39.924519,25.358698,34.130318,81.083548,-33.796979,34.001771,39.839933,39.818753,-23.531806,13.764058,-33.756344,18.95993,34.174544,-48.226753,19.523567,-33.791097,55.80858,41.848181,39.905622,41.825261,-33.738647,43.633114,55.816399,34.909016,37.737894,52.458154,52.459482,13.875159,-23.603702,34.036969,39.85934,25.264785,37.568724
10.942627,39.937451,37.64878,43.737898,19.587423,19.521945,-33.733347,18.97956,55.723104,39.857604,-16.299957,41.902876,13.76324,19.085914,37.614963,41.945245,39.964943,25.364988,25.327731,-33.752322,-39.773789,34.006015,-23.632022,55.879507,-33.85476,37.532948,19.432658,-33.872186,39.916791,41.933882,32.988859,41.968075,25.312641,41.847635,19.053562,-33.885375,-33.762238,43.667051,39.972485,-33.704286,-50.498253,39.92592,-33.77252,43.654641,55.720416,-23.545409,13.874673,52.45077,19.494854,37.769385
-13.956652,52.489213,-33.833546,43.646213,25.200341,25.326558,-33.830829,13.874674,41.810569,39.990154,79.688544,37.865915,55.778004,55.767176,34.149479,39.86551,37.56301,37.703091,34.000561,-33.716354,46.166127,37.654957,37.831442,52.50332,37.710036,37.631834,41.931228,39.906152,19.495854,55.763502,-9.607391,37.689983,-23.584593,19.435785,-23.514985,19.497968,19.067347,43.610363,13.863524,13.705385,-30.463477,19.504212,19.122767,52.403092,43.762853,-23.518493,55.704517,52.52717,25.303691,34.134092
69.714553,52.432821,-33.701565,-33.891384,43.740446,19.597756,52.541805,39.945845,-33.781737,19.073252,38.12088,55.71259,41.968499,19.587109,37.788542,13.762907,37.588369,19.497339,37.843346,25.210258,81.886622,52.54231,43.758918,25.248905,37.547787,13.76758,37.547658,-33.823268,19.468829,19.443801,-84.73177,41.871045,-33.710764,-33.829813,39.872016,37.640026,37.600456,37.561871,34.128264,34.177621,-86.59932,43.734902,55.838418,34.080718,37.830896,25.348174,34.105927,19.144849,13.777659,37.703572
78.74773,37.685383,37.632277,52.508405,19.404685,39.941392,13.722264,25.265093,19.058959,-23.510628,28.281488,-33.721297,37.52891,18.973531,52.555114,25.283727,52.513884,34.096886,39.93656,18.917156,6.75617,41.815772,19.466545,-23.602488,34.028378,19.532421,25.235701,18.944316,52.516503,34.170605,26.820762,55.759832,13.700548,55.835176,41.977913,55.854326,-33.78429,-33.825147,43.631596,37.547003,38.047158,34.05811,19.594068,43.749501,41.96516,41.813587,19.059683,39.966761,-23.577463,39.839556
31.921604,18.916293,41.995282,19.534324,-33.820047,39.863928,19.524305,41.95305,43.608321,19.145423,53.587489,41.996666,52.591553,41.893824,18.916562,37.627117,18.942605,39.893132,55.721891,-33.725184,-34.439497,39.900986,13.714083,37.785816,34.019763,41.949205,34.101758,-23.590903,13.730247,19.474591,75.525967,55.793812,34.032266,41.904499,19.597863,55.76433,19.474788,37.737093,-33.877944,37.629959,20.755408,37.602418,19.433411,-33.745398,25.383933,25.245784,55.854035,19.172802,13.710356,25.251899
-27.21703,-33.873158,-33.731862,13.715468,-33.764415,37.869054,37.794009,34.110899,18.923704,-33.863223,7.193091,-23.513198,39.851482,13.814201,-33.895584,-23.696274,37.709186,-33.811458,-23.56956,39.962196,23.711631,34.004628,41.809137,13.700441,-23.665894,19.187425,37.589454,-33.783232,25.374825,39.91428,27.853343,41.919655,43.763748,-33.70717,43.692397,13.827106,25.318358,39.983675,-33.829497,39.990884,66.871364,39.850412,43.734647,-33.826169,-23.535777,-23.67397,-33.857883,37.555692,-23.592073,41.861129
-30.225616,43.730545,19.51328,-23.592921,37.732712,55.723991,52.401171,19.556894,41.996065,-33.856036,-54.623091,-33.899005,52.542775,41.863942,-23.5731,34.167297,19.11693,34.149836,25.396476,19.179554,-80.166124,39.840159,19.447657,-33.777948,41.870589,25.31301,34.160816,13.79541,37.656942,19.153022,-28.460678,37.871065,34.002413,-33.864997,55.879009,19.189134,-23.532182,37.664254,37.55493,55.747415,-50.521439,13.759093,39.90451,-33.766911,43.657289,41.973566,55.740028,52.512344,39.954663,39.80571
68.448107,37.509712,19.182179,34.183425,-33.882924,25.256895,13.719327,-33.729422,19.524296,39.910019,-54.546381,37.558591,41.888791,41.914545,34.138247,55.819361,25.349234,19.153105,52.459204,43.646332,-22.883204,41.908381,34.077955,43.65435,41.900694,41.831703,19.546218,25.315421,-33.849766,41.921123,-80.723496,55.765017,19.129722,-33.887958,39.893768,25.284957,-23.60254,-33.744565,-33.744014,-33.738376,-51.852151,34.020332,43.618736,37.857175,18.907316,19.555444,-33.852876,43.660907,19.401518,19.466609
10.060762,-33.749508,13.789147,43.782108,37.676068,52.433768,-33.800303,-23.656007,13.867797,-33.807932,-22.699389,55.77211,18.936206,43.60412,-33.753965,39.857941,25.330998,-33.729421,43.723214,25.293781,59.032387,-33.826787,18.996604,13.75829,13.73715,37.820565,37.580529,41.930069,37.541222,34.058424,-72.947238,37.688284,43.669537,37.774349,39.904658,-33.787055,-33.853089,43.600512,-33.87629,34.118001,-67.946777,13.863228,25.301386,37.553153,43.617122,13.821081,-33.760877,37.65443,41.827749,39.989449
