ï»¿Name,Category,Source,Filename,Version,27cPAfi2DYBEzzgto,28wnpfEyGZCvdDsmc,2aQvQYwCsSQyRGyvF,2jbKjqmXXQddSvH26,2mrsS49vJNZdWDQeD,2nygbmutbmBfuzEXp,2q8sqokbgGi3mebNb,3ZahH8gvtHGdkEM68,3bWWrFPG7N5NcAKbS,3dBXpZsj6tD2dBzwj,3xcS4XeYXbi6A4JJc,442cvvb6XZ2ykmMy9,4ovKGY9ZoiujvqkS8,4zszj8KsBNe2XgeGq,53msS63AkP5L46Bq7,5ZKFC4ePpoYDqqJSu,5tgy5p3AE38NBeG9B,62DZnrMMYjrk5jbS5,6bxdrutijtpzKv39F,6mmdmWbK5ZRpbCsWc,78XQwM8DMwK8YsJig,7oZ7FMrJEpBLZzsmw,8GYy5WLx9jCpap6uY,8Gx8LKMb7ipbF9qKa,8eztTyD69pNsq7Eee,8k4sCwWWqugmTYuw6,9SCJMuao7JJBS3iry,9gtBjJE4tYb6wQczz,9mei7SoYtX9WhJqBx,A8AfTzxqpvzfcMeC5,AJB8xQLjaJR2WrHBv,Aszgp3pAbCC75LNHd,AxrkW9SNKqmh9kX4S,B6NfDDoKJXSTX6nEZ,B7gS5WW3ksnrfNeXK,BGfRq5YPPAt93qsms,BKJKu7xjhMajA2aFy,BLseEGcXhw9dPreLx,BbeW2wNrRMq4PkQB5,BdGehD5vw6WxG8efX,Bp9ysH2C4zeiScQXP,BxqZmtEty82NDo8J3,C2LhRZFynjh6x5gQB,CGCfToQFCeeeMkRWc,CH2gZGRicug5TB5nF
5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,228000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,128000.0,5000.0,198000.0
198000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,228000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,98000.0,168000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,98000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,228000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,228000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,168000.0,168000.0,129800.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,128000.0,5000.0,168000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,228000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,228000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,128000.0,5000.0,198000.0,198000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,228000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
5000.0,98000.0,168000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,98000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,228000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,228000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,168000.0,168000.0,129800.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,128000.0,5000.0
168000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,228000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
