index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
864092.0,3.0,43610.0,698704.0,739168.0,839661.0,378970.0,659271.0,677920.0,234172.0,445990.0,650728.0,261956.0,841183.0,690830.0,710790.0,897675.0,238661.0,159099.0,271206.0,551724.0,643887.0,475102.0,867889.0,637108.0,370413.0,918436.0,917381.0,672672.0,373788.0,735815.0,669405.0,423085.0,454841.0,615428.0,795717.0,661521.0,273783.0,943428.0,924540.0,507302.0,514776.0,171956.0,182270.0,637252.0,430937.0,364999.0,951876.0,370045.0,316883.0
911011.0,700457.0,31728.0,918435.0,806710.0,932672.0,79146.0,993205.0,989743.0,461800.0,936274.0,443697.0,566633.0,845091.0,575828.0,988732.0,553703.0,212341.0,323877.0,325259.0,922589.0,254878.0,936806.0,357406.0,320428.0,591389.0,458544.0,348613.0,581539.0,254668.0,55080.0,452614.0,379082.0,983636.0,363794.0,173047.0,632046.0,870082.0,602172.0,723431.0,140969.0,19750.0,239920.0,394936.0,48160.0,190617.0,62150.0,685020.0,629521.0,834311.0
321216.0,428619.0,347822.0,560732.0,82228.0,499247.0,593337.0,994645.0,652574.0,705064.0,381860.0,667217.0,601954.0,22434.0,839137.0,576045.0,948888.0,223913.0,149360.0,333188.0,384594.0,996446.0,947867.0,35440.0,812481.0,879351.0,481526.0,218515.0,133466.0,457343.0,199137.0,516152.0,77693.0,792195.0,581523.0,116261.0,721666.0,94948.0,599932.0,302370.0,50316.0,356563.0,150328.0,703651.0,505591.0,868962.0,363171.0,634359.0,700552.0,509536.0
58140.0,586777.0,752430.0,221066.0,243151.0,254324.0,59794.0,223716.0,674595.0,490826.0,111631.0,286326.0,139803.0,953724.0,198938.0,952575.0,75816.0,676656.0,884216.0,383429.0,810819.0,399264.0,353542.0,83075.0,804875.0,295244.0,722736.0,815746.0,940114.0,228318.0,546839.0,597601.0,943514.0,15889.0,971998.0,669765.0,371012.0,221178.0,94625.0,96498.0,926905.0,586034.0,702522.0,937793.0,91096.0,921370.0,229685.0,295639.0,256766.0,594869.0
44479.0,556794.0,416617.0,711638.0,926558.0,731436.0,64649.0,8601.0,910202.0,328147.0,998925.0,695690.0,530110.0,785298.0,807952.0,193781.0,221149.0,108984.0,904777.0,253105.0,893345.0,578416.0,340213.0,626526.0,685242.0,708459.0,468407.0,735830.0,126936.0,780741.0,940316.0,217789.0,129309.0,761479.0,470936.0,489084.0,457754.0,551501.0,605146.0,32711.0,997844.0,313050.0,10294.0,764427.0,285482.0,774034.0,794728.0,642921.0,876150.0,494995.0
75360.0,631092.0,960949.0,62868.0,824903.0,747676.0,802433.0,127104.0,648711.0,417193.0,690166.0,585124.0,313949.0,22716.0,375289.0,161885.0,209150.0,377388.0,163463.0,961687.0,610156.0,682887.0,304508.0,185852.0,858154.0,920824.0,752080.0,336810.0,225805.0,245231.0,99049.0,10937.0,988002.0,564260.0,36944.0,514918.0,603820.0,229060.0,787603.0,569613.0,903351.0,51205.0,890474.0,54714.0,485918.0,582631.0,222987.0,61818.0,375256.0,581099.0
373772.0,606289.0,535033.0,568750.0,567508.0,972264.0,847909.0,484569.0,804994.0,305889.0,169876.0,672020.0,162791.0,133455.0,573206.0,306599.0,136896.0,464099.0,704439.0,103061.0,416751.0,979886.0,175889.0,671628.0,515359.0,171161.0,949089.0,872288.0,870020.0,972326.0,170509.0,426904.0,497359.0,684060.0,178076.0,803659.0,539863.0,546085.0,143685.0,171943.0,437572.0,10223.0,861319.0,640393.0,152335.0,214317.0,317565.0,164964.0,995224.0,460391.0
390794.0,107961.0,289912.0,95357.0,152680.0,744395.0,259008.0,383254.0,285639.0,791749.0,356920.0,83990.0,424764.0,780164.0,217427.0,542665.0,128753.0,960536.0,341246.0,541220.0,126963.0,946772.0,862387.0,434506.0,509782.0,339072.0,539964.0,377679.0,879051.0,835101.0,816287.0,371431.0,23349.0,430906.0,672629.0,777395.0,49734.0,620825.0,18208.0,264295.0,781122.0,544608.0,757187.0,361393.0,228299.0,638764.0,21660.0,675864.0,111613.0,190151.0
838096.0,421312.0,854627.0,257380.0,868957.0,829274.0,364088.0,560572.0,521366.0,864607.0,126706.0,811468.0,460449.0,420384.0,633695.0,759372.0,143774.0,309270.0,276105.0,931092.0,736628.0,505866.0,547282.0,466499.0,783419.0,719009.0,140174.0,242753.0,27289.0,585936.0,732311.0,615841.0,263528.0,672640.0,120716.0,258562.0,546513.0,407834.0,200305.0,794130.0,427049.0,330219.0,36786.0,419337.0,338101.0,242281.0,424674.0,370168.0,225025.0,282914.0
79657.0,935152.0,114143.0,31163.0,999982.0,156044.0,736693.0,463398.0,704302.0,303462.0,448544.0,278185.0,33523.0,686376.0,905566.0,539560.0,376245.0,258483.0,255349.0,161388.0,925996.0,264337.0,358685.0,575972.0,611946.0,570039.0,339054.0,169605.0,834975.0,626206.0,846780.0,484146.0,995634.0,413537.0,484978.0,704186.0,664093.0,770341.0,442391.0,320717.0,682702.0,324128.0,510634.0,115129.0,421735.0,607671.0,278963.0,952949.0,356803.0,467569.0
